"Manage Customer Attributes","Manage Customer Attributes"
"Add New Attribute","Add New Attribute"
"Action","Action"
"Edit","Edit"
"Save and Continue Edit","Save and Continue Edit"
"Edit Customer Attribute ""%s""","Edit Customer Attribute ""%s"""
"Create Customer Attribute","Create Customer Attribute"
"ID","ID"
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
"Type","Type"
"Is Enabled","Is Enabled"
"Sort Order","Sort Order"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Enable","Enable"
"Disable","Disable"
"Change Status","Change Status"
"Status","Status"
"Customer Attribute Information","Customer Attribute Information"
"Manage Labels and Options","Manage Labels and Options"
"General","General"
"Attribute Properties","Attribute Properties"
"Enabled","Enabled"
"Attribute Code","Attribute Code"
"Attribute Type","Attribute Type"
"Frontend Properties","Frontend Properties"
"Sort Order","Sort Order"
"Customer Groups","Customer Groups"
"Display On","Display On"
"Editable by Customer","Editable by Customer"
"Display in Customer Grid","Display in Customer Grid"
"Additional Properties","Additional Properties"
"Required","Required"
"Default Value","Default Value"
"Minimum Text Length","Minimum Text Length"
"Leave empty to disable this validation","Leave empty to disable this validation"
"Maximum Text Length","Maximum Text Length"
"Minimum Date","Minimum Date"
"Maximum Date","Maximum Date"
"File Size (kilobytes)","File Size (kilobytes)"
"Allowed File Extensions","Allowed File Extensions"
"Comma separated","Comma separated"
"Personal Customer Attributes","Personal Customer Attributes"
"Allowed file extensions to upload: %s","Allowed file extensions to upload: %s"
"Maximum allowed file size to upload (kilobytes): %s","Maximum allowed file size to upload (kilobytes): %s"
"Recommended image width (pixels): %s","Recommended image width (pixels): %s"
"Recommended image height (pixels): %s","Recommended image height (pixels): %s"
"Delete Attachment","Delete Attachment"
"No Attachment","No Attachment"
"No Image","No Image"
"Delete File","Delete File"
"Download","Download"
"Manage Customers","Manage Customers"
"Customer Attributes","Customer Attributes"
"Manage Attributes","Manage Attributes"
"Edit Attributes","Edit Attributes"
"Create Attributes","Create Attributes"
"Unable save attribute","Unable save attribute"
"Attribute "%s" has been successfully saved","Attribute "%s" has been successfully saved"
"Attribute with the same code already exists","Attribute with the same code already exists"
"Default value: %s","Default value: %s"
"Unable remove attribute","Unable remove attribute"
"Attribute "%s" has been successfully deleted","Attribute "%s" has been successfully deleted"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"An error occurred while updating the attribute(s) status.","An error occurred while updating the attribute(s) status."
"---Please Select---","---Please Select---"
"Text Field","Text Field"
"Text Area","Text Area"
"Date","Date"
"Yes/No","Yes/No"
"Multiple Select","Multiple Select"
"Dropdown","Dropdown"
"Image","Image"
"Attachment","Attachment"
"%s is required","%s is required"
"%s is invalid","%s is invalid"
"%s has incorrect selected option","%s has incorrect selected option"
"%s can not contain characters other than letters, digits and spaces","%s can not contain characters other than letters, digits and spaces"
"%s contains not only digit characters","%s contains not only digit characters"
"%s has not only alphabetic characters","%s has not only alphabetic characters"
"%s has invalid email address","%s has invalid email address"
"%s is less than '%s' symbols","%s is less than '%s' symbols"
"%s is greater than '%s' symbols","%s is greater than '%s' symbols"
"Yes","Yes"
"No","No"
"Create Account Page","Create Account Page"
"Customer Account Page","Customer Account Page"
"None","None"
"Alphanumeric","Alphanumeric"
"Numeric","Numeric"
"Alpha","Alpha"
"Url","Url"
"Email","Email"
"Additional Information","Additional Information"
"Input Validation","Input Validation"
"Disallowed file type","Disallowed file type"
"Uploaded file is larger than %s bytes allowed by server","Uploaded file is larger than %s bytes allowed by server"
