"Manage Customers by Attributes","Manage Customers by Attributes"
"Additional information","Additional information"
"Customer Attribute error: ","Customer Attribute error: "
"Manage Customer Attributes","Manage Customer Attributes"
"Show on Registration page","Show on Registration page"
"Show on Account Manager page","Show on Account Manager page"
"Show on Checkout page (Register)","Show on Checkout page (Register)"
"Show on Checkout page (Guest)","Show on Checkout page (Guest)"
"New Customer Attribute","New Customer Attribute"
"Edit Customer Attribute","Edit Customer Attribute"
"General Information","General Information"
"General Configuration","General Configuration"
"Display Configuration","Display Configuration"
"In Frontend","In Frontend"
"In Backend","In Backend"
"Attribute Labels / Options","Attribute Labels / Options"
"Attribute Labels","Attribute Labels"
"Manage Address Attributes","Manage Address Attributes"
"New Customer Address Attribute","New Customer Address Attribute"
"Edit Customer Address Attribute","Edit Customer Address Attribute"
"Order Reports","Order Reports"
"Attribute To Filter","Attribute To Filter"
"Show empty rows: ","Show empty rows:"
"Total Results","Total Results"
"Total Orders","Total Orders"
"Order Status","Order Status"
"Number of Orders","Number of Orders"
"Relative Percentage (based on Total Results)","Relative Percentage (based on Total Results)"
"Absolute Percentage (based on Total Orders)","Absolute Percentage (based on Total Orders)"
"View Chart","View Chart"
"View Data Table","View Data Table"
"Select at least one attribute to filter","Select at least one attribute to filter"
"Customer Report","Customer Report"
"Customer Attribute","Customer Attribute"
"Customer Address Attribute","Customer Address Attribute"
"Purchase Status","Purchase Status"
"Ordered","Ordered"
"Haven’t ordered","Haven’t ordered"
"Total Customers:","Total Customers:"
"Number of Customers","Number of Customers"
"Settings","Settings"
